,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
61,Jerome Felton,Vikings,2012,1,,750000,750000,0,,0.6%,,1736318,1736318,0
62,Zach Line,Saints,2018,2,,2200000,1100000,200000,,0.6%,,3466366,1733183,315124
63,Alex Armah,Saints,2021,1,,1127500,1127500,357500,,0.6%,,1724921,1724921,546926
64,Michael Burton,Chiefs,2022,1,,1272500,1272500,732500,,0.6%,,1706446,1706446,982296
65,Khari Blasingame,Bears,2024,1,,1550000,1550000,0,,0.6%,,1694440,1694440,0
66,John Kuhn,Saints,2017,1,,1000000,1000000,0,,0.6%,,1671856,1671856,0
67,Nick Bellore,Seahawks,2019,2,,2230000,1115000,600000,,0.6%,,3308268,1654134,890117
68,Reagan Maui'a,Cardinals,2011,2,,1425000,712500,100000,,0.6%,,3305171,1652586,231942
69,Mike Tolbert,Bills,2017,1,,980000,980000,80000,,0.6%,,1638419,1638419,133749
70,Jacob Hester,Broncos,2012,2,,1415000,707500,0,,0.6%,,3275854,1637927,0
71,Michael Burton,Broncos,2023,1,,1317500,1317500,1066250,,0.6%,,1636326,1636326,1324275
72,Jacob Hester,Chargers,2012,1,,700000,700000,0,,0.6%,,1620564,1620564,0
73,Jerome Felton,Bills,2016,1,,885000,885000,0,,0.6%,,1591370,1591370,0
74,Nick Bellore,Lions,2018,1,,1005000,1005000,90000,,0.6%,,1583499,1583499,141806
75,Ryan Hewitt,Colts,2018,1,,990000,990000,0,,0.6%,,1559865,1559865,0
76,Jacob Hester,Chargers,2008,4,,2538850,634712,833850,,0.5%,,6110749,1527686,2006991
77,Michael Burton,Chiefs,2021,1,,990000,990000,275000,,0.5%,,1514564,1514564,420712
78,Alex Armah,Saints,2021,1,,990000,990000,0,,0.5%,,1514564,1514564,0
79,Michael Burton,Broncos,2024,1,,1377500,1377500,167500,,0.5%,,1505865,1505865,183109
80,Marcel Reece,Seahawks,2017,1,,900000,900000,0,,0.5%,,1504671,1504671,0
81,Nick Bellore,Seahawks,2020,1,,1050000,1050000,0,,0.5%,,1479112,1479112,0
82,Michael Burton,Saints,2020,1,,1047500,1047500,137500,,0.5%,,1475590,1475590,193693
83,Patrick DiMarco,Falcons,2015,2,,1495000,747500,75000,,0.5%,,2913205,1456602,146147
84,Chris Gronkowski,Chargers,2013,1,,630000,630000,0,,0.5%,,1430049,1430049,0
85,Darrel Young,Panthers,2017,1,,855001,855001,30000,,0.5%,,1429439,1429439,50156
86,Ben Mason,Ravens,2021,4,,3720152,930038,240152,,0.5%,,5691323,1422831,367400
87,Alex Armah,Commanders,2022,1,,1060000,1060000,25000,,0.5%,,1421479,1421479,33525
88,Jason Cabinda,Lions,2021,1,,920000,920000,0,,0.5%,,1407474,1407474,0
89,Kyle Juszczyk,Ravens,2013,4,,2460584,615146,300584,,0.5%,,5585326,1396331,682301
90,Jalston Fowler,Titans,2015,4,,2817716,704429,537716,,0.5%,,5490692,1372673,1047811
91,Alex Armah,Commanders,2023,1,,1105000,1105000,25000,,0.5%,,1372402,1372402,31050
92,Marcel Reece,Seahawks,2016,1,,760000,760000,0,,0.5%,,1366600,1366600,0
93,Will Tukuafu,Seahawks,2016,1,,760000,760000,0,,0.5%,,1366600,1366600,0
94,Nick Bawden,Jets,2023,2,,2195000,1097500,200000,,0.5%,,2726174,1363087,248399
95,Nick Bawden,Jets,2023,1,,1092500,1092500,152500,,0.5%,,1356877,1356877,189404
96,Roosevelt Nix,Colts,2020,1,,960000,960000,0,,0.5%,,1352331,1352331,0
97,Alex Armah,Commanders,2023,1,,1080000,1080000,0,,0.5%,,1341352,1341352,0
98,Jakob Johnson,Raiders,2023,1,,1080000,1080000,0,,0.5%,,1341352,1341352,0
99,Michael Burton,Broncos,2024,1,,1210000,1210000,0,,0.5%,,1322756,1322756,0
100,Kristian Welch,Broncos,2024,1,,1207500,1207500,20000,,0.5%,,1320023,1320023,21864
101,Anthony Sherman,ARI/KC,2011,4,,2246900,561725,206900,,0.5%,,5211501,1302875,479888
102,Cullen Gillaspia,Giants,2021,1,,850000,850000,0,,0.5%,,1300384,1300384,0
103,Khari Blasingame,Titans,2021,1,,850000,850000,0,,0.5%,,1300384,1300384,0
104,Jakob Johnson,Patriots,2021,1,,850000,850000,0,,0.5%,,1300384,1300384,0
105,Zach Line,Saints,2017,1,,775000,775000,0,,0.5%,,1295689,1295689,0
106,Cullen Gillaspia,Seahawks,2022,1,,965000,965000,0,,0.5%,,1294083,1294083,0
107,Khari Blasingame,Bears,2022,1,,965000,965000,0,,0.5%,,1294083,1294083,0
108,Brad Smelley,Texans,2013,3,,1710000,570000,0,,0.5%,,3881561,1293854,0
109,Jamize Olawale,Raiders,2015,1,,660000,660000,0,,0.5%,,1286097,1286097,0
