Rnk,Event,Time
1,UFC 263: Adesanya vs. Vettori 2,3:19:32
2,UFC 251: Usman vs. Masvidal,3:07:27
3,UFC Fight Night: Moreno vs. Albazi,3:06:38
4,UFC Fight Night: Werdum vs. Tybura,3:04:18
5,UFC 286: Edwards vs. Usman 3,2:57:58
6,UFC Fight Night: Joanna vs. Waterson,2:57:27
7,UFC 271: Adesanya vs. Whittaker 2,2:57:22
8,UFC Fight Night: Sandhagen vs. Nurmagomedov,2:55:23
9,UFC Fight Night: Luque vs. Muhammad,2:54:44
10,UFC Fight Night: MacDonald vs Thompson,2:54:41
