Rnk,Event,Total
1,UFC 199: Rockhold vs. Bisping 2,15
1,UFC Fight Night: Smith vs. Spann,15
3,UFC Fight Night: Cerrone vs. Medeiros,13
4,UFC 160: Velasquez vs Silva 2,12
4,UFC 215: Nunes vs Shevchenko 2,12
4,UFC 230: Cormier vs. Lewis,12
4,UFC 271: Adesanya vs. Whittaker 2,12
4,UFC Fight Night: Kattar vs. Emmett,12
9,UFC Live: Kongo vs Barry,11
9,UFC 217: Bisping vs. St-Pierre,11
9,UFC 295: Prochazka vs. Pereira,11
