Rnk,Event,Total
1,UFC 268: Usman vs. Covington 2,2407
2,UFC 241: Cormier vs. Miocic 2,2377
2,UFC 263: Adesanya vs. Vettori 2,2377
4,UFC 297: Strickland vs. Du Plessis,2345
5,UFC 285: Jones vs. Gane,2228
6,UFC Fight Night: Werdum vs. Tybura,2213
7,UFC Fight Night: Luque vs. Muhammad,2183
8,UFC 251: Usman vs. Masvidal,2152
8,UFC 271: Adesanya vs. Whittaker 2,2152
10,UFC 299: O'Malley vs. Vera 2,2151
