Rnk,Event,Total
1,UFC 268: Usman vs. Covington 2,1973
2,UFC 238: Cejudo vs. Moraes,1818
3,UFC 241: Cormier vs. Miocic 2,1717
4,UFC 271: Adesanya vs. Whittaker 2,1710
5,UFC Fight Night: Thompson vs. Holland,1686
6,UFC Fight Night: Joanna vs. Waterson,1684
7,UFC 231: Holloway vs. Ortega,1674
8,UFC 286: Edwards vs. Usman 3,1664
9,UFC Fight Night: Werdum vs. Tybura,1639
10,UFC 297: Strickland vs. Du Plessis,1635
