Rnk,Event,Time
1,UFC 33: Victory in Vegas,16:10
2,UFC Fight Night: Rozenstruik vs. Gane,15:51
3,UFC Fight Night: Hernandez vs. Pereira,15:38
4,UFC 223: Khabib vs. Iaquinta,15:06
5,UFC Fight Night: Vieira vs. Tate,14:59
6,UFC 208: Holm vs. De Randamie,14:52
7,UFC 219: Cyborg vs. Holm,14:44
8,UFC 306: Riyadh Season Noche UFC,14:42
9,UFC 94: St-Pierre vs Penn 2,14:30
10,UFC 240: Holloway vs. Edgar,14:29
