Rnk,Event,Time
1,UFC 29: Defense of the Belts,4:56
2,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,5:09
3,UFC 40: Vendetta,5:11
4,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,5:12
5,UFC 60: Hughes vs Gracie,5:13
6,UFC 71: Liddell vs Jackson,5:17
7,UFC Fight Night 3,5:23
8,UFC Fight Night: Rockhold vs Bisping,5:48
9,UFC Fight Night: Belfort vs Henderson 2,5:51
10,UFC 55: Fury,5:56
