,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Lucas Sims,30.9,2.014,159852021,,598500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Jeff Hoffman,32.2,2.105,158552021,,585500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Nick Senzel,29.7,1.150,158052021,,580500,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
3,Tejay Antone,31.3,1.000,158052021,,580500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Aristides Aquino,30.9,1.005,15792021,,579000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Art Warren,32.0,0.023,157052021,,570500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Tyler Stephenson,28.6,0.056,157052021,,570500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Jonathan India,28.3,,157052021,,570500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Max Schrock,30.5,0.075,"1 yr, TBD (2021)",,TBD,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,2852500,,,,,,,,,,
