,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Tejay Antone,31.3,2.000,17202022,,720000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Justin Dunn,29.5,2.020,17202022,,720000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Jonathan India,28.3,1.000,17602022,,760000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Tyler Stephenson,28.6,1.056,17202022,,720000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Jake Fraley,29.8,1.097,17102022,,710000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Art Warren,32.0,0.146,170252022,,702500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Hunter Greene,25.6,,17002022,,700000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Alexis Díaz,28.5,,17002022,,700000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Graham Ashcraft,27.1,,17002022,,700000,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
9,Estimated salaries for other pre-arbitration players,7700000,,,,,,,,,,
